country,ghg_2024,ghg_per_capita_2024,pct_change_2015_2024,slope_post_paris,slope_pc_post_paris,slope_long_term,pct_change_pre_post_paris,pct_from_peak,pct_change_2005_2024,reduction_ratio,avg_ghg_post_paris,cat_rating,on_track
Argentina,416.9817504882813,9.12509536743164,0.9641340763936188,2.1761075106531926,-0.0010796402439942603,-0.3437324641300065,-10.65211406890706,-22.908139792935085,-19.551102284605648,0.5555555555555556,417.46660766601565,Critically Insufficient,0
Australia,609.9241943359375,22.83230972290039,-4.395465514187846,-8.624415542138514,-0.6392472353847651,-5.592272198016856,-13.298673325264796,-32.83926644841576,-4.328108030268158,0.6666666666666666,645.2732055664062,Insufficient,0
Bhutan,7.387224197387695,9.332841873168944,7.384105415227439,0.2927491968327913,0.3135652368718477,-0.22451257632328903,-40.70659103118136,-62.60957819630592,-26.11057125624799,0.7777777777777778,7.1946563720703125,Almost Sufficient,1
Brazil,2804.4306640625,13.228535652160645,7.1250461860504615,43.594611150561114,0.13912024642479107,-18.33220778245162,0.4727500367760037,-27.09659792102756,-8.263435829792497,0.5555555555555556,2629.622314453125,Insufficient,0
Canada,802.732177734375,20.198366165161133,-8.773354088736902,-8.362931315103292,-0.4657547921844979,-5.721274742713322,-3.295751719560235,-16.330832306268952,-14.341132553732495,0.6666666666666666,840.0516845703125,Highly Insufficient,0
Chile,104.40017700195312,5.28213357925415,-18.414992628316664,-2.818274018258394,-0.21274749871453844,0.6704807398869426,-0.30880848719312187,-21.308818810357508,-5.086640379675445,0.7777777777777778,121.78532104492187,Almost Sufficient,1
China,14107.0068359375,9.93926239013672,21.163324595996016,316.75806699806924,0.20772365801259593,363.5164242788453,26.022841167810128,0.0,86.8095949968719,0.1111111111111111,12593.18056640625,Highly Insufficient,0
Colombia,248.28038024902344,4.694601535797119,-2.21916477094132,-3.413409886214936,-0.13744208017982915,2.9572215740497207,3.173617452336052,-48.028943931038185,41.535756575668984,0.5555555555555556,259.72264556884767,Insufficient,0
Costa Rica,14.982009887695312,2.9205217361450195,-18.231331492976803,-0.4794090848980112,-0.11878240758721463,-0.02865264452420715,-5.74607524876554,-75.14964052550638,14.755470209356666,0.6666666666666666,15.836734771728516,Almost Sufficient,1
Egypt,332.4622802734375,2.852816581726074,10.551758010664788,2.084500584457875,-0.031453175978222565,5.668549722524775,15.706506630978803,-1.5472201504310719,38.42870719983613,0.4444444444444444,320.3631988525391,Highly Insufficient,0
Ethiopia,247.1356658935547,1.871392607688904,10.214521918113633,3.386087960907368,-0.023792473475138177,1.2003260685847872,-14.594245726685484,-14.899383257194074,-2.5736680523327946,0.4444444444444444,229.1342544555664,Almost Sufficient,1
Gambia,2.937142848968506,1.0641825199127195,-12.383567072651097,-0.023146604769160237,-0.03885381294019163,0.009523277649512468,-17.320788249149707,-43.52195580282822,20.378656294713572,0.6666666666666666,2.9956684350967406,Almost Sufficient,1
Germany,659.6551513671875,7.80174732208252,-27.601247683539746,-29.121924198031863,-0.3770677450931041,-14.397134164663372,-15.833775463690387,-51.262149074303764,-33.6554739410021,0.8888888888888888,799.8691223144531,Insufficient,0
India,4262.41064453125,2.937697649002075,29.539895647375015,99.2756466027367,0.045386692971889825,93.91453012319668,32.45334915033852,0.0,93.2704192044828,0.2222222222222222,3668.8499267578127,Highly Insufficient,0
Indonesia,1902.5347900390625,6.711166858673096,-27.40574057479227,-31.732007575764246,-0.18164940747349778,31.453631403996482,10.811399371048516,-37.16815425796589,56.25469323553883,0.4444444444444444,1916.8925537109376,Critically Insufficient,0
Iran,1012.2164306640624,11.054291725158691,28.266061435464934,23.87529962712881,0.15973083033705074,19.71486253004801,27.389305418962014,0.0,54.469941745431484,0.1111111111111111,910.9973266601562,Critically Insufficient,0
